Gender,Size,Color,Dress Category,Dress name,Dress type,color,Pattern,Navigation,Description,Price,Offers
Male,S,Black,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with black Skin tone.",1000,10%
Male,S,Black,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.",,1100,15%
Male,S,Black,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with black Skin tone.",1200,20%
Male,S,Black,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn ri  ght, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with black Skin tone.",1300,25%
Male,S,Brown,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with brown Skin tone.",1000,10%
Male,S,Brown,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with brown Skin tone.",1100,15%
Male,S,Brown,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with brown Skin tone.",1200,20%
Male,S,Brown,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with brown Skin tone.",1300,25%
Male,S,White,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with white Skin tone.",1000,10%
Male,S,White,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with white Skin tone.",1100,15%
Male,S,White,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with white Skin tone.",1200,20%
Male,S,White,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with white Skin tone.",1300,25%
Male,S,Fair,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with fair Skin tone.",1000,10%
Male,S,Fair,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with fair Skin tone.",1100,15%
Male,S,Fair,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with fair Skin tone.",1200,20%
Male,S,Fair,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with fair Skin tone.",1300,25%
Male,M,Black,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with black Skin tone.",1000,10%
Male,M,Black,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with black Skin tone.",1100,15%
Male,M,Black,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with black Skin tone.",1200,20%
Male,M,Black,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with black Skin tone.",1300,25%
Male,M,Brown,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with brown Skin tone.",1000,10%
Male,M,Brown,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with brown Skin tone.",1100,15%
Male,M,Brown,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with brown Skin tone.",1200,20%
Male,M,Brown,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with brown Skin tone.",1300,25%
Male,M,White,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with white Skin tone.",1000,10%
Male,M,White,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with white Skin tone.",1100,15%
Male,M,White,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with white Skin tone.",1200,20%
Male,M,White,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with white Skin tone.",1300,25%
Male,M,Fair,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with fair Skin tone.",1000,10%
Male,M,Fair,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with fair Skin tone.",1100,15%
Male,M,Fair,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with fair Skin tone.",1200,20%
Male,M,Fair,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with fair Skin tone.",1300,25%
Male,L,Black,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with black Skin tone.",1000,10%
Male,L,Black,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with black Skin tone.",1100,15%
Male,L,Black,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with black Skin tone.",1200,20%
Male,L,Black,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with black Skin tone.",1300,25%
Male,L,Brown,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with brown Skin tone.",1000,10%
Male,L,Brown,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with brown Skin tone.",1100,15%
Male,L,Brown,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with brown Skin tone.",1200,20%
Male,L,Brown,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with brown Skin tone.",1300,25%
Male,L,White,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with white Skin tone.",1000,10%
Male,L,White,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with white Skin tone.",1100,15%
Male,L,White,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with white Skin tone.",1200,20%
Male,L,White,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with white Skin tone.",1300,25%
Male,L,Fair,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with fair Skin tone.",1000,10%
Male,L,Fair,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with fair Skin tone.",1100,15%
Male,L,Fair,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with fair Skin tone.",1200,20%
Male,L,Fair,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with fair Skin tone.",1300,25%
Male,XL,Black,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with black Skin tone.",1000,10%
Male,XL,Black,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with black Skin tone.",1100,15%
Male,XL,Black,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with black Skin tone.",1200,20%
Male,XL,Black,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with black Skin tone.",1300,25%
Male,XL,Brown,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with brown Skin tone.",1000,10%
Male,XL,Brown,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with brown Skin tone.",1100,15%
Male,XL,Brown,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with brown Skin tone.",1200,20%
Male,XL,Brown,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with brown Skin tone.",1300,25%
Male,XL,White,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with white Skin tone.",1000,10%
Male,XL,White,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with white Skin tone.",1100,15%
Male,XL,White,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with white Skin tone.",1200,20%
Male,XL,White,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with white Skin tone.",1300,25%
Male,XL,Fair,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with fair Skin tone.",1000,10%
Male,XL,Fair,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with fair Skin tone.",1100,15%
Male,XL,Fair,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with fair Skin tone.",1200,20%
Male,XL,Fair,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with fair Skin tone.",1300,25%
Male,XXL,Black,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with black Skin tone.",1000,10%
Male,XXL,Black,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with black Skin tone.",1100,15%
Male,XXL,Black,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with black Skin tone.",1200,20%
Male,XXL,Black,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with black Skin tone.",1300,25%
Male,XXL,Brown,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with brown Skin tone.",1000,10%
Male,XXL,Brown,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with brown Skin tone.",1100,15%
Male,XXL,Brown,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with brown Skin tone.",1200,20%
Male,XXL,Brown,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with brown Skin tone.",1300,25%
Male,XXL,White,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with white Skin tone.",1000,10%
Male,XXL,White,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with white Skin tone.",1100,15%
Male,XXL,White,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with white Skin tone.",1200,20%
Male,XXL,White,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with white Skin tone.",1300,25%
Male,XXL,Fair,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with fair Skin tone.",1000,10%
Male,XXL,Fair,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with fair Skin tone.",1100,15%
Male,XXL,Fair,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with fair Skin tone.",1200,20%
Male,XXL,Fair,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with fair Skin tone.",1300,25%
Male,XXXL,Black,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with black Skin tone.",1000,10%
Male,XXXL,Black,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with black Skin tone.",1100,15%
Male,XXXL,Black,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with black Skin tone.",1200,20%
Male,XXXL,Black,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with black Skin tone.",1300,25%
Male,XXXL,Brown,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with brown Skin tone.",1000,10%
Male,XXXL,Brown,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with brown Skin tone.",1100,15%
Male,XXXL,Brown,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with brown Skin tone.",1200,20%
Male,XXXL,Brown,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with brown Skin tone.",1300,25%
Male,XXXL,White,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with white Skin tone.",1000,10%
Male,XXXL,White,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with white Skin tone.",1100,15%
Male,XXXL,White,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with white Skin tone.",1200,20%
Male,XXXL,White,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with white Skin tone.",1300,25%
Male,XXXL,Fair,Formal,Shirt,Silk,White,Striped,"Proceed straight for six steps, turn left, and walk two more steps forward to find Shirts, including three-piece sets and blazers displayed in various colors and fits.","Elevate your formal attire with this silk in white. Paired with striped patterns, it's a perfect choice for individuals with fair Skin tone.",1000,10%
Male,XXXL,Fair,Casual,T-shirt,Cotton,Blue,Plain,"Move straight, turn right, and advance two steps forward. Extend your hand to the left to locate a shelf stacked with casual T-shirts in different styles and fabrics.","Elevate your casual attire with this cotton in blue. Paired with plain patterns, it's a perfect choice for individuals with fair Skin tone.",1100,15%
Male,XXXL,Fair,Wedding,Kurta,Velvet ,Grey,Floral,"Walk straight for three steps, turn left, and move forward two more steps. Cotton and silk kurtas are folded neatly on the shelf.","Elevate your wedding attire with this velvet  in grey. Paired with floral patterns, it's a perfect choice for individuals with fair Skin tone.",1200,20%
Male,XXXL,Fair,Party,Blazer,Silk,Green,Checked,"Take three steps ahead, turn right, and slightly raise your hands. Blazers, sorted by size and color, are hanging at shoulder height.","Elevate your party attire with this silk in green. Paired with checked patterns, it's a perfect choice for individuals with fair Skin tone.",1300,25%
